name,molweight,boiling point (K),type
(+)-a-pinene,136.23704,428.65,hydrocarbon
(+)-camphene,136.23704,432.65,hydrocarbon
(-)-a-pinene,136.23704,429.35,hydrocarbon
(-)-camphene,136.23704,439.95,hydrocarbon
"(1,1-dimethylbutyl)benzene",162.27492,478.65,hydrocarbon
(1-butylhexadecyl)benzene,358.65124,693.15,hydrocarbon
(1-ethyl-1-methylpropyl)benzene,162.27492,478.15,hydrocarbon
(1-ethylbutyl)benzene,162.27492,482.15,hydrocarbon
(1-ethyloctadecyl)benzene,358.65124,693.15,hydrocarbon
(1-hexylheptyl)benzene,260.46308,614.43,hydrocarbon
(1-methylenepropyl)benzene,132.20528,455.15,hydrocarbon
(1-methylheptyl)benzene,190.32868,523.94,hydrocarbon
(1-methylnonadecyl)benzene,358.65124,693.15,hydrocarbon
(1-methylnonyl)benzene,218.38244,562.65,hydrocarbon
(1-methylpentyl)benzene,162.27492,481.15,hydrocarbon
(1-octyldodecyl)benzene,358.65124,693.15,hydrocarbon
(1-propylheptadecyl)benzene,358.65124,693.15,hydrocarbon
(1-thiapropyl)-benzene,138.2334,478.15,hydrocarbon
(1S)-(-)-b-pinene,136.23704,439.15,hydrocarbon
"(2,4-dimethylpentyl)benzene",176.3018,492.16,hydrocarbon
(2-methyl-1-propenyl)benzene,132.20528,461.06,hydrocarbon
(3-chloropropyl)cyclohexane,160.68668,487.85,hydrocarbon
(3-methylpentyl)benzene,162.27492,493.15,hydrocarbon
(3-octylundecyl)benzene,344.62436,683.15,hydrocarbon
(4-methylpentyl)benzene,162.27492,490.15,hydrocarbon
(<+->)-2-chlorooctane,148.67568,445.2,hydrocarbon
"(E)-2,2,5,5-tetramethylhex-3-ene",140.2688,398.35,hydrocarbon
(R)-2-amino-6-methylheptane,129.2456,428.15,hydrocarbon
(R)-2-aminooctane,129.2456,437.15,hydrocarbon
(S)-(1-methylpropyl)benzene,134.22116,457.1,hydrocarbon
(S)-2-amino-6-methylheptane,129.2456,428.15,hydrocarbon
(S)-2-aminooctane,129.2456,437.15,hydrocarbon
(S)-2-chlorooctane,148.67568,442.45,hydrocarbon
"(Z,E)-1,3-cyclooctadiene",108.18328,406.55,hydrocarbon
(bromomethyl)benzene,171.03658,474.15,hydrocarbon
(fluoromethyl)benzene,110.1309832,413.15,hydrocarbon
(±)-a-pinene,136.23704,428.75,hydrocarbon
"1,1',1''-(1-ethanyl-2-ylidene)trisbenzene",258.36292,622,hydrocarbon
"1,1'-[methylenebis(thio)]bisethane",136.28228,426.65,hydrocarbon
"1,1,1,2,2,3-hexafluoropropane",152.0392992,274.35,hydrocarbon
"1,1,1,2,2-pentafluoropropane",134.048836,255.5,hydrocarbon
"1,1,1,2,3,3-hexafluoropropane",152.0392992,279.4,hydrocarbon
"1,1,1,2,3-pentafluoropropane",134.048836,270,hydrocarbon
"1,1,1,2-tetrabromoethane",345.65388,523.15,hydrocarbon
"1,1,1,2-tetrabromopropane",359.68076,523.15,hydrocarbon
"1,1,1,2-tetrachloro-2,2-difluoroethane",203.8296064,364.65,hydrocarbon
"1,1,1,2-tetrachloro-2-fluoroethane",185.8391432,390.15,hydrocarbon
"1,1,1,2-tetrachloroethane",167.84868,403.65,hydrocarbon
"1,1,1,2-tetrachloropropane",181.87556,423.15,hydrocarbon
"1,1,1,2-tetrafluoroethane",102.0314928,247.08,hydrocarbon
"1,1,1,2-tetrafluoropropane",116.0583728,272.15,hydrocarbon
"1,1,1,2-tetraiodoethane",533.65576,614.49,hydrocarbon
"1,1,1,2-tetraiodopropane",547.68264,636.93,hydrocarbon
"1,1,1,3,3,3-hexafluoropropane",152.0392992,272.45,hydrocarbon
"1,1,1,3,3-pentafluoropropane",134.048836,288.45,hydrocarbon
"1,1,1,3-tetrabromopropane",359.68076,533.15,hydrocarbon
"1,1,1,3-tetrachloropropane",181.87556,432.15,hydrocarbon
"1,1,1,3-tetrafluoropropane",116.0583728,302.55,hydrocarbon
"1,1,1,3-tetraiodopropane",547.68264,637.37,hydrocarbon
"1,1,1-tribromo-2-methylpropane",294.81158,485.73,hydrocarbon
"1,1,1-tribromobutane",294.81158,484.15,hydrocarbon
"1,1,1-tribromodecane",378.97286,585.15,hydrocarbon
"1,1,1-tribromododecane",407.02662,613.15,hydrocarbon
"1,1,1-tribromoeicosane",519.24166,708.15,hydrocarbon
"1,1,1-tribromoethane",266.75782,446.15,hydrocarbon
"1,1,1-tribromoheptadecane",477.16102,676.15,hydrocarbon
"1,1,1-tribromoheptane",336.89222,537.15,hydrocarbon
"1,1,1-tribromohexadecane",463.13414,664.15,hydrocarbon
"1,1,1-tribromohexane",322.86534,520.15,hydrocarbon
"1,1,1-tribromononadecane",505.21478,697.15,hydrocarbon
"1,1,1-tribromononane",364.94598,570.15,hydrocarbon
"1,1,1-tribromooctadecane",491.1879,687.15,hydrocarbon
"1,1,1-tribromooctane",350.9191,554.15,hydrocarbon
"1,1,1-tribromopentadecane",449.10726,652.15,hydrocarbon
"1,1,1-tribromopentane",308.83846,503.15,hydrocarbon
